Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
Agaricus augustus_166.jpg,Agaricus,9377.871919014086,11840.128348378372,8530.925349034447,12273.513628745333,0.8557827343060609,0.8179170124507371,0.8688074716415827,0.8112522125189103,36.77596830985916,46.43187587599361,33.45460921189979,48.13142599507974,0.9639491192804852,1.0168238526467706,0.9420575393623654,1.0252611193319745,0.4910226515249423,0.4666667341978716,0.5007610266115783,0.462473420712123,0.7007300846438251,0.6831301004917523,0.7076447036554279,0.6800539836749161,0.6259452245575824,0.5263150285048565,0.6594617674007632,0.508976694988805
Agaricus augustus_178.jpg,Agaricus,4037.562353286385,5819.047163986004,4439.500424060542,5577.286159546004,0.9379084927062039,0.9105119926800664,0.9317273025549697,0.9142299055832128,15.83357785602504,22.819792799945112,17.409805584551147,21.87171042959217,0.541660295866654,0.5923230994806128,0.553834842431159,0.5861125864916881,0.7492150450571008,0.7263043383373614,0.7441785205588664,0.729370694017846,0.8655720911958176,0.8522349079551725,0.8626578235655585,0.8540320216583486,0.6775221090629712,0.5344299000139489,0.6447942896639551,0.5537727050880289
Agaricus augustus_204.jpg,Agaricus,6642.844776995305,10548.25781410803,8933.725698068893,10702.27954365021,0.8978432507459277,0.8377839969534028,0.8626130209751655,0.8354153793305723,26.050371674491394,41.36571691807071,35.03421842379958,41.96972370058906,0.8307604208678505,0.9266245317012255,0.8918118275214584,0.929768451830699,0.5681138391824557,0.5246465299351977,0.5412975425829448,0.5230501140855307,0.7537332679286856,0.7243248787216947,0.7357292590232801,0.7232220365043717,0.699679356543368,0.5221134573102062,0.5961390870512051,0.5151381804977498
Agaricus augustus_211.jpg,Agaricus,6971.022593896714,9218.784733452909,7271.617464770355,9848.468052574319,0.8927963800034338,0.8582292508619183,0.8881736926034147,0.8485456886080288,27.33734350547731,36.15209699393297,28.516146920668056,38.6214433434287,0.8335417581494653,0.8893493393424075,0.8419216810562125,0.9034469833947572,0.5692292238920346,0.5446823106266498,0.5656675256979873,0.5378419189479804,0.754472811897178,0.7380259552526929,0.7521087193338389,0.7333770646454526,0.6800401243938851,0.575077651842303,0.6661949129205729,0.5460484688152215
Agaricus augustus_239.jpg,Agaricus,14006.281543427229,18406.552677232496,13921.110957072024,18838.238407480374,0.7846049035243252,0.7169354923071926,0.7859146963203638,0.7102968288456868,54.92659428794992,72.1825595185588,54.59259198851774,73.87544473521714,1.186679462861065,1.258203925603791,1.1849323488462977,1.263968871208869,0.35231334718438945,0.31880281385627596,0.35313411238887227,0.3159665771154526,0.5935598935106629,0.5646262603318021,0.5942508833723954,0.5621090437943982,0.5500202937784702,0.4081230968922038,0.5526878858141384,0.39424190916436913
Agaricus augustus_317.jpg,Agaricus,10243.048708920187,13767.418183422034,10823.642027661796,14490.364315328296,0.8424776441897057,0.788278255106849,0.833549010739369,0.777160454044101,40.16881846635368,53.98987522910602,42.445655010438415,56.82495809932665,1.0108385941094662,1.0807612276689593,1.0237853649445994,1.0929293794515424,0.4618518623113514,0.42884214161457757,0.45606222254236933,0.4225542545294118,0.6795968380675056,0.6548603985694795,0.6753237908902435,0.6500417329136736,0.6114695575534262,0.4762657046528513,0.5891973317030699,0.44876564328367585
Agaricus augustus_327.jpg,Agaricus,10292.232981220657,13803.7460672175,10665.194496998954,14243.079773001264,0.8417212656288153,0.78771958805374,0.8359856903854004,0.7809633104757903,40.3616979655712,54.1323375185,41.82429214509394,55.85521479608339,1.026204986877802,1.097902915659113,1.0351633905822983,1.1055474228867803,0.4504489607543249,0.4168866704235585,0.4463517850592156,0.41304447663526234,0.6711549454144884,0.6456676160560931,0.6680956406527553,0.6426853636385866,0.6198114327328742,0.48957265496913216,0.6062331923751547,0.4733272143522301
Agaricus augustus_330.jpg,Agaricus,9143.610622065728,13871.303184451175,12471.114545276618,15387.089446911112,0.859385313227544,0.7866806633584846,0.8082134139378615,0.7633701988910419,35.857296557120506,54.39726739000461,48.90633155010438,60.34152724278867,0.9966605185762112,1.0973402059300739,1.0721318048708175,1.1222824360991184,0.46373481610175843,0.4175352894632587,0.4296538556606311,0.40471466235128606,0.6809807751337467,0.6461697063955093,0.6554798667088342,0.6361718811384908,0.6615079577226691,0.4855340146342631,0.5382346709034714,0.42931390084422566
Agaricus augustus_334.jpg,Agaricus,8510.787118544602,12722.194860184069,10846.550104384134,13566.871269369873,0.8691171666941746,0.8043521843541956,0.8331967197062078,0.7913623586047138,33.37563575899844,49.89096023601596,42.535490605427974,53.203416742626956,1.016019190633136,1.1158164014118834,1.0756502393897986,1.1323985907024845,0.4414749168858825,0.3985231827136563,0.4163385607106307,0.3907849163642846,0.6644357883843122,0.631286925821893,0.645243024534656,0.6251279200006065,0.705725367461824,0.5594494103201035,0.6248854758855223,0.5301995289713974
Agaricus augustus_35.jpg,Agaricus,7279.2723004694835,10438.211943897204,8540.258269180586,10755.602928636537,0.8880559729881972,0.8394763334066804,0.8686639456651096,0.8345953475742542,28.546165884194053,40.934164485871385,33.491208898747395,42.17883501426093,0.8323883098392277,0.9056976331332011,0.8647884462903637,0.9120186993108693,0.5728119682875115,0.5385515760480504,0.5582962356988953,0.5352614155907576,0.7568434238913035,0.7338607334147607,0.7471922347688681,0.7316156201112423,0.6584668006646501,0.5086299585223683,0.5991089485700607,0.49368904506188105
Agaricus augustus_39.jpg,Agaricus,9633.333333333332,11458.36690287865,8512.89584420668,12620.009409274016,0.8518541301428146,0.8237879170965667,0.8690847377324965,0.8059236396322392,37.77777777777778,44.93477216815157,33.383905271398746,49.49023297754516,0.9536268558371879,0.9924668835750458,0.9257003744497392,1.0146175627127603,0.5005829050423359,0.48231982082043173,0.513144186811472,0.4710704075789499,0.7075188372349784,0.6944924915507955,0.7163408314562782,0.686345691017981,0.6030507202051876,0.5269617920849571,0.6490886062388111,0.4790054564115766
